StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,age,sex,race ,year ,gpa _1,degree ,undergrad ,grad ,combined ,sleepDuration,sleepEnough,regSleep ,sleepCatchUp ,allNighter ,dayTired ,fallStayAsleep ,sleepDisorder,napFreq,napDuration ,leisureTime ,leisureFreq,socialMedia ,socMedDuration ,academic _1,mentalHealth _1,mentalHealth _2,mentalHealth _3,mentalHealth _4
11/18/21 18:27,11/18/21 18:31,IP Address,100,221,True,11/18/21 18:31,R_8e2xUHwg5ML8I3n,qr,EN,21,Male,White or Caucasian,Fourth year,3.72,Undergraduate,Biomedical Sciences,,,7-8 hours.,Yes,Yes,Yes,"No, never.",No,No,,Never,,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Good,Great,Good,Great,Good
11/18/21 21:52,11/18/21 21:57,IP Address,100,283,True,11/18/21 21:57,R_1o1Eu3jTf2n3330,anonymous,EN,25+,Male,White or Caucasian,,,Undergraduate,Writing,,,6-7 hours.,Yes,No,Yes,"No, never.",Yes,No,,Every day,Less than 30 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,Less than 1 hour/day.,Ok,Ok,Ok,Ok,Good
11/19/21 11:22,11/19/21 11:24,IP Address,100,112,True,11/19/21 11:24,R_3327LDiGablfT2F,anonymous,EN,23,Female,White or Caucasian,Fifth or more year,3.85,Graduate,,Public Health,,6-7 hours.,No,No,Yes,"No, never.",Yes,No,,Never,,Yes,3-6 hours/day.,Yes,1-3 hours/day.,Great,Ok,Ok,Bad,Ok
11/19/21 11:24,11/19/21 11:25,IP Address,100,86,True,11/19/21 11:25,R_2WvZuBLKsPeyJTb,anonymous,EN,19,Female,White or Caucasian,Second year,3.85,Undergraduate,Communication Sciences and Disorders,,,5-6 hours.,No,Yes,Yes,"No, never.",Yes,No,,Rarely,30-60 minutes.,No,,Yes,1-3 hours/day.,Good,Not Good,Bad,Ok,Good
11/19/21 11:22,11/19/21 11:26,IP Address,100,225,True,11/19/21 11:26,R_0whva9n7BfG8IDf,anonymous,EN,,Female,White or Caucasian,Third year,3.4,Undergraduate,Allied Health Sciences,,,9-10 hours.,Yes,Yes,No,"No, never.",Yes,No,,A few times a week,30-60 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Good,Ok,Ok,Ok,Ok
11/19/21 11:24,11/19/21 11:26,IP Address,100,135,True,11/19/21 11:26,R_2bW49R1zMN7Te9k,anonymous,EN,22,Female,White or Caucasian,Fourth year,3.64,Undergraduate,"Criminal Justice,Legal Studies",,,6-7 hours.,No,No,Yes,"No, never.",Yes,Yes,No,A few times a week,30-60 minutes.,Yes,1-3 hours/day.,Yes,3-6 hours/day.,Good,Not Good,Not Good,Ok,Good
11/19/21 11:25,11/19/21 11:26,IP Address,100,88,True,11/19/21 11:26,R_3J2HognwNECqxM9,anonymous,EN,,Female,White or Caucasian,Third year,3.96,Undergraduate,"Accounting,Finance,International Business",,,5-6 hours.,No,No,Yes,"Yes, rarely.",Yes,Yes,No,Never,,No,,Yes,6-9 hours/day.,Good,Ok,Ok,Ok,Ok
11/19/21 11:26,11/19/21 11:28,IP Address,100,103,True,11/19/21 11:28,R_1q3wVUhVjFfMaXR,anonymous,EN,,Female,White or Caucasian,Third year,3.3,Undergraduate,Radiation Therapy,,,5-6 hours.,No,Yes,Yes,"Yes, rarely.",Yes,No,,Rarely,Less than 30 minutes.,No,,Yes,1-3 hours/day.,Great,Ok,Not Good,Ok,Good
11/19/21 11:38,11/19/21 11:42,IP Address,100,198,True,11/19/21 11:42,R_3jVCOmhyN4sKYjW,anonymous,EN,19,Female,White or Caucasian,Second year,3.5,Undergraduate,Psychology,,,6-7 hours.,No,Yes,Yes,"No, never.",Yes,No,,Never,,Yes,3-6 hours/day.,Yes,Less than 1 hour/day.,Good,Not Good,Good,Ok,Ok
11/19/21 18:44,11/19/21 18:47,IP Address,100,167,True,11/19/21 18:47,R_ZxD3zd4Z0RfybTP,anonymous,EN,21,Male,Asian or Pacific Islander,Fourth year,3.6,Undergraduate,Criminal Justice,,,6-7 hours.,Yes,Yes,Yes,"Yes, rarely.",No,Yes,No,Rarely,60-90 minutes.,Yes,1-3 hours/day.,No,,Great,Great,Ok,Ok,Great
11/19/21 19:37,11/19/21 19:42,IP Address,100,290,True,11/19/21 19:42,R_1gCPfCKTSkiwOuE,anonymous,EN,18,Female,White or Caucasian,First year,,Undergraduate,Applied Food and Nutrition,,,6-7 hours.,No,Yes,Yes,"No, never.",No,No,,Never,,Yes,1-3 hours/day.,Yes,Less than 1 hour/day.,Good,Good,Ok,Ok,Good
11/19/21 22:15,11/19/21 22:18,IP Address,100,186,True,11/19/21 22:18,R_3j84kTHvZBIZQS8,anonymous,EN,22,Female,White or Caucasian,Fifth or more year,3.90,Undergraduate,Spanish,,,6-7 hours.,No,No,Yes,"Yes, rarely.",Yes,Yes,No,Never,,No,,Yes,3-6 hours/day.,Good,Ok,Not Good,Not Good,Good
11/20/21 8:07,11/20/21 8:12,IP Address,100,254,True,11/20/21 8:12,R_1psau6QyTxtm01V,anonymous,EN,21,Female,White or Caucasian,Fourth year,3.79,Undergraduate,Exercise Science,,,7-8 hours.,Yes,Yes,Yes,"No, never.",No,No,,Rarely,60-90 minutes.,Yes,3-6 hours/day.,No,,Great,Great,Great,Good,Good
11/20/21 9:16,11/20/21 9:19,IP Address,100,146,True,11/20/21 9:19,R_2rkZSTB3QgamJIN,anonymous,EN,22,Female,White or Caucasian,Fourth year,4.0,Undergraduate,Statistics,,,7-8 hours.,Yes,Yes,Yes,"No, never.",Yes,Yes,No,Rarely,Less than 30 minutes.,Yes,1-3 hours/day.,Yes,Less than 1 hour/day.,Great,Good,Good,Great,Ok
11/20/21 9:30,11/20/21 9:34,IP Address,100,220,True,11/20/21 9:34,R_2q9QtzRB6r05e2I,anonymous,EN,20,Female,White or Caucasian,Third year,3.98,Undergraduate,Statistics,,,7-8 hours.,Yes,Yes,Yes,"No, never.",Yes,No,,Rarely,30-60 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,1-3 hours/day.,Great,Good,Good,Ok,Good
11/20/21 9:35,11/20/21 9:41,IP Address,100,390,True,11/20/21 9:41,R_8hWBuykqtCoqFDH,anonymous,EN,22,Female,White or Caucasian,Fourth year,2.6,Undergraduate,Mathematics,,,6-7 hours.,Yes,No,Yes,"Yes, I do it often.",Yes,Yes,No,Rarely,More than 90 minutes.,No,,No,,Not Good,Not Good,Not Good,Bad,Ok
11/20/21 13:36,11/20/21 13:41,IP Address,100,277,True,11/20/21 13:41,R_2ASYSsvoztQCXIV,anonymous,EN,22,Female,White or Caucasian,Fourth year,3.2,Undergraduate,Biochemistry,,,6-7 hours.,Yes,No,Yes,"No, never.",Yes,No,,A few times a week,30-60 minutes.,No,,Yes,1-3 hours/day.,Ok,Bad,Bad,Not Good,Ok
11/20/21 13:40,11/20/21 13:43,IP Address,100,136,True,11/20/21 13:43,R_3hmsCOaJiceA434,anonymous,EN,21,Female,White or Caucasian,Fourth year,3.86,Undergraduate,Biomedical Sciences,,,5-6 hours.,No,No,No,"No, never.",Yes,Yes,No,Rarely,Less than 30 minutes.,No,,No,,Great,Ok,Bad,Ok,Ok
11/20/21 16:41,11/20/21 16:44,IP Address,100,179,True,11/20/21 16:44,R_2X0TuIaFF9hRIVc,anonymous,EN,,Male,White or Caucasian,Fifth or more year,3.533,Undergraduate,Cell and Molecular Biology,,,7-8 hours.,Yes,Yes,Yes,"Yes, rarely.",Yes,Yes,Yes,Never,,Yes,3-6 hours/day.,No,,Good,Great,Good,Good,Great
11/20/21 20:55,11/20/21 20:58,IP Address,100,162,True,11/20/21 20:58,R_2XpStnDFK3Rzzxn,anonymous,EN,22,Female,White or Caucasian,Fourth year,2.7,Undergraduate,Cell and Molecular Biology,,,5-6 hours.,Yes,No,Yes,"No, never.",Yes,No,,A few times a week,60-90 minutes.,Yes,3-6 hours/day.,Yes,1-3 hours/day.,Not Good,Bad,Bad,Bad,Bad
11/22/21 11:58,11/22/21 12:00,IP Address,100,122,True,11/22/21 12:00,R_3j35qfGgWvlbT31,anonymous,EN,21,Female,White or Caucasian,Fourth year,3.98,Combined Degree,,,Accounting,7-8 hours.,Yes,No,Yes,"No, never.",Yes,Yes,No,Never,,Yes,I spend some time on personal activities a few times a week.,Yes,1-3 hours/day.,Great,Ok,Not Good,Ok,Ok
11/22/21 11:58,11/22/21 12:00,IP Address,100,117,True,11/22/21 12:00,R_0fbUl5d1sWnVvJD,anonymous,EN,,Female,White or Caucasian,Third year,3.5,Undergraduate,Management,,,5-6 hours.,No,Yes,Yes,"No, never.",Yes,Yes,No,Rarely,Less than 30 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,1-3 hours/day.,Good,Ok,Not Good,Ok,Good
11/22/21 11:58,11/22/21 12:01,IP Address,100,172,True,11/22/21 12:01,R_2dSKrzt3jUcSQy4,anonymous,EN,22,Male,White or Caucasian,Fifth or more year,2.9,Undergraduate,Advertising and Public Relations,,,7-8 hours.,No,Yes,No,"Yes, rarely.",Yes,Yes,No,Rarely,30-60 minutes.,Yes,1-3 hours/day.,Yes,Less than 1 hour/day.,Good,Ok,Ok,Ok,Ok
11/22/21 11:59,11/22/21 12:01,IP Address,100,108,True,11/22/21 12:01,R_RsrmDjAKkedqRTb,anonymous,EN,25+,Male,White or Caucasian,Third year,3.5,Graduate,,Physician Assistant Studies,,6-7 hours.,No,No,Yes,"No, never.",No,No,,Rarely,30-60 minutes.,No,,Yes,1-3 hours/day.,Great,Good,Ok,Good,Ok
11/22/21 11:58,11/22/21 12:01,IP Address,100,152,True,11/22/21 12:01,R_1JKDi9eoBd7JRKr,anonymous,EN,22,Female,White or Caucasian,Fifth or more year,3.9,Undergraduate,Recreational Therapy,,,6-7 hours.,Yes,Yes,Yes,"No, never.",Yes,No,,Rarely,30-60 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Good,Ok,Good,Ok,Good
11/22/21 12:00,11/22/21 12:02,IP Address,100,90,True,11/22/21 12:02,R_XzSZEQ6i83RMSWt,anonymous,EN,21,Male,White or Caucasian,Third year,3.20,Undergraduate,Criminal Justice,,,5-6 hours.,No,No,Yes,"Yes, rarely.",No,No,,Rarely,30-60 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Ok,Ok,Ok,Good,Good
11/22/21 11:59,11/22/21 12:02,IP Address,100,187,True,11/22/21 12:02,R_2AExck3WyZVKIwy,anonymous,EN,19,Female,White or Caucasian,Second year,3.45,Undergraduate,Hospitality and Tourism Management,,,9-10 hours.,Yes,Yes,Yes,"No, never.",Yes,Yes,No,Rarely,More than 90 minutes.,Yes,3-6 hours/day.,Yes,3-6 hours/day.,Good,Not Good,Good,Great,Ok
11/22/21 11:59,11/22/21 12:02,IP Address,100,170,True,11/22/21 12:02,R_3NUk6ZfwFIcqVKk,anonymous,EN,18,Female,White or Caucasian,First year,N/A,Undergraduate,Psychology,,,7-8 hours.,No,Yes,Yes,"Yes, rarely.",Yes,No,,A few times a week,More than 90 minutes.,Yes,3-6 hours/day.,Yes,1-3 hours/day.,Good,Bad,Bad,Ok,Not Good
11/22/21 11:59,11/22/21 12:02,IP Address,100,179,True,11/22/21 12:02,R_3nMdGcSeHRJ4jNR,anonymous,EN,20,Male,White or Caucasian,Second year,3.2,Undergraduate,Biomedical Sciences,,,6-7 hours.,Yes,Yes,Yes,"Yes, rarely.",Yes,Yes,No,Rarely,30-60 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Not Good,Bad,Not Good,Bad,Not Good
11/22/21 12:00,11/22/21 12:02,IP Address,100,142,True,11/22/21 12:02,R_UPH0xCMzx1L8Lqp,anonymous,EN,19,Male,White or Caucasian,Second year,3.9,Undergraduate,Multimedia Journalism,,,7-8 hours.,Yes,Yes,Yes,"No, never.",Yes,No,,Rarely,30-60 minutes.,Yes,3-6 hours/day.,Yes,Less than 1 hour/day.,Good,Ok,Ok,Good,Good
11/22/21 11:58,11/22/21 12:02,IP Address,100,241,True,11/22/21 12:02,R_4Pyqcq0yCla4m2Z,anonymous,EN,22,Male,White or Caucasian,Fourth year,3.6,Undergraduate,Mathematics,,,5-6 hours.,No,Yes,Yes,"No, never.",Yes,No,,A few times a week,30-60 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Good,Not Good,Not Good,Ok,Ok
11/22/21 11:59,11/22/21 12:02,IP Address,100,184,True,11/22/21 12:02,R_yHM2ipixpbg3vDX,anonymous,EN,19,Female,White or Caucasian,Second year,2.56,Undergraduate,"History,Psychology",,,7-8 hours.,Yes,No,Yes,"No, never.",Yes,Yes,No,Rarely,60-90 minutes.,Yes,1-3 hours/day.,Yes,3-6 hours/day.,Good,Ok,Ok,Not Good,Ok
11/22/21 12:02,11/22/21 12:04,IP Address,100,117,True,11/22/21 12:04,R_VJzfBmZ0G5D0OCB,anonymous,EN,23,Male,White or Caucasian,Fifth or more year,3.23,Undergraduate,Mathematics,,,7-8 hours.,Yes,Yes,No,"No, never.",No,No,,Rarely,30-60 minutes.,Yes,3-6 hours/day.,No,,Great,Good,Ok,Good,Great
11/22/21 12:02,11/22/21 12:04,IP Address,100,99,True,11/22/21 12:04,R_UgRmk3HdJTevZUB,anonymous,EN,18,Female,White or Caucasian,First year,3.4,Undergraduate,Exercise Science,,,6-7 hours.,No,Yes,Yes,"No, never.",Yes,Yes,No,Rarely,30-60 minutes.,Yes,1-3 hours/day.,Yes,6-9 hours/day.,Ok,Not Good,Not Good,Not Good,Bad
11/22/21 12:03,11/22/21 12:04,IP Address,100,92,True,11/22/21 12:04,R_2PtZ3W6Y6Bzt1Sw,anonymous,EN,20,Male,White or Caucasian,Third year,3.85,Combined Degree,,,Cell and Molecular Biology,9-10 hours.,Yes,Yes,No,"No, never.",No,Yes,Yes,Rarely,Less than 30 minutes.,Yes,1-3 hours/day.,Yes,Less than 1 hour/day.,Great,Good,Ok,Ok,Good
11/22/21 11:59,11/22/21 12:04,IP Address,100,302,True,11/22/21 12:04,R_12eZBqpyz3nQNtR,anonymous,EN,18,Female,White or Caucasian,First year,,Undergraduate,Biomedical Engineering,,,5-6 hours.,No,No,Yes,"Yes, rarely.",Yes,No,,Rarely,60-90 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,,Ok,Ok,Ok,Ok
11/22/21 12:02,11/22/21 12:05,IP Address,100,134,True,11/22/21 12:05,R_3EXuMhykG2fqzbl,anonymous,EN,21,Male,White or Caucasian,Fourth year,3.36,Undergraduate,Communication Studies,,,5-6 hours.,No,Yes,Yes,"Yes, rarely.",Yes,Yes,No,Rarely,More than 90 minutes.,Yes,I spend some time on personal activities a few times a week.,No,,Good,Not Good,Not Good,Ok,Not Good
11/22/21 12:03,11/22/21 12:05,IP Address,100,118,True,11/22/21 12:05,R_1CEIvHP1Xy1zVEe,anonymous,EN,22,Female,White or Caucasian,Third year,4.00,Undergraduate,Natural Resources Management,,,7-8 hours.,Yes,Yes,Yes,"No, never.",Yes,Yes,Yes,A few times a week,30-60 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,Less than 1 hour/day.,Great,Not Good,Bad,Ok,Ok
11/22/21 12:03,11/22/21 12:06,IP Address,100,173,True,11/22/21 12:06,R_32QsM1BmJKFmSId,anonymous,EN,23,Female,White or Caucasian,Fifth or more year,3.97,Graduate,,Physical Therapy,,7-8 hours.,Yes,Yes,Yes,"No, never.",No,No,,Rarely,30-60 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Great,Good,Good,Great,Good
11/22/21 12:01,11/22/21 12:06,IP Address,100,296,True,11/22/21 12:06,R_1dFf3Awqj3JUobo,anonymous,EN,24,Male,Asian or Pacific Islander,First year,3.20,Graduate,,Data Science and Analytics,,6-7 hours.,Yes,No,No,"Yes, rarely.",No,No,,Never,,Yes,I am too busy with school/work to have regular leisure time in my schedule.,Yes,1-3 hours/day.,Ok,Ok,Ok,Ok,Ok
11/22/21 12:07,11/22/21 12:09,IP Address,100,110,True,11/22/21 12:09,R_3GdgDc5RtOAuUcj,anonymous,EN,20,Female,White or Caucasian,Second year,4.00,Undergraduate,Allied Health Sciences,,,7-8 hours.,Yes,Yes,Yes,"Yes, rarely.",Yes,Yes,No,Rarely,30-60 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,1-3 hours/day.,Good,Ok,Not Good,Good,Good
11/22/21 12:06,11/22/21 12:09,IP Address,100,160,True,11/22/21 12:09,R_24oWOnmDIOfnrFi,anonymous,EN,22,Female,Multiracial or Biracial,Fifth or more year,2.82,Undergraduate,Film and Video,,,6-7 hours.,No,No,Yes,"No, never.",Yes,Yes,No,A few times a week,60-90 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,1-3 hours/day.,Ok,Bad,Ok,Not Good,Good
11/22/21 12:08,11/22/21 12:10,IP Address,100,95,True,11/22/21 12:10,R_1LhTtmwAjlYVcPx,anonymous,EN,20,Male,White or Caucasian,Second year,4.00,Undergraduate,Accounting,,,6-7 hours.,No,Yes,Yes,"Yes, rarely.",No,No,,Rarely,Less than 30 minutes.,Yes,1-3 hours/day.,Yes,3-6 hours/day.,Great,Ok,Not Good,Good,Ok
11/22/21 12:07,11/22/21 12:10,IP Address,100,160,True,11/22/21 12:10,R_1Gy8gWjnxOm0gyl,anonymous,EN,,Male,White or Caucasian,Fifth or more year,3.7,Graduate,,Medical Dosimetry,,5-6 hours.,No,Yes,Yes,"No, never.",Yes,Yes,No,A few times a week,60-90 minutes.,Yes,1-3 hours/day.,No,,Good,Good,Ok,Good,Great
11/22/21 12:08,11/22/21 12:10,IP Address,100,111,True,11/22/21 12:10,R_3fQ7oHOTizGKc1q,anonymous,EN,,Female,White or Caucasian,Fifth or more year,3.90,Graduate,,Biostatistics,,7-8 hours.,No,No,Yes,"No, never.",Yes,Yes,No,A few times a week,30-60 minutes.,Yes,1-3 hours/day.,No,,Not Good,Not Good,Not Good,Not Good,Ok
11/22/21 12:07,11/22/21 12:10,IP Address,100,153,True,11/22/21 12:10,R_bjeeszawq0im025,anonymous,EN,21,Female,White or Caucasian,Fourth year,3.8,Undergraduate,Film and Video,,,6-7 hours.,No,No,Yes,"No, never.",Yes,Yes,No,A few times a week,More than 90 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Good,Not Good,Ok,Ok,Ok
11/22/21 12:09,11/22/21 12:11,IP Address,100,92,True,11/22/21 12:11,R_DosGeb4CFN62Fi1,anonymous,EN,25+,Male,Asian or Pacific Islander,First year,3.55,Graduate,,Data Science and Analytics,,6-7 hours.,No,Yes,Yes,"No, never.",Yes,Yes,No,Never,,Yes,I am too busy with school/work to have regular leisure time in my schedule.,Yes,1-3 hours/day.,Good,Ok,Ok,Ok,Ok
11/22/21 12:10,11/22/21 12:12,IP Address,100,89,True,11/22/21 12:12,R_w7B8Ncqpfja6lAl,anonymous,EN,20,Female,White or Caucasian,Third year,4.00,Undergraduate,Psychology,,,Less than 5 hours.,No,No,No,"No, never.",Yes,Yes,No,Rarely,60-90 minutes.,Yes,I am too busy with school/work to have regular leisure time in my schedule.,Yes,3-6 hours/day.,Great,Not Good,Bad,Bad,Ok
11/22/21 12:12,11/22/21 12:14,IP Address,100,106,True,11/22/21 12:14,R_5ubjqVFuKE4P6St,anonymous,EN,20,Male,White or Caucasian,Third year,3.25,Undergraduate,Accounting,,,Less than 5 hours.,No,Yes,Yes,"Yes, rarely.",Yes,No,,Rarely,30-60 minutes.,No,,Yes,Less than 1 hour/day.,Good,Ok,Great,Good,Good
11/22/21 12:12,11/22/21 12:15,IP Address,100,154,True,11/22/21 12:15,R_1nTpYUBz9Cq61gt,anonymous,EN,20,Female,White or Caucasian,Third year,3.4,Undergraduate,Exercise Science,,,7-8 hours.,Yes,No,Yes,"No, never.",Yes,No,,A few times a week,30-60 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Good,Ok,Good,Ok,Good
11/22/21 12:13,11/22/21 12:15,IP Address,100,124,True,11/22/21 12:15,R_dhBV34C0S17uzJv,anonymous,EN,25+,Female,Black or African American,Fifth or more year,4.0,Graduate,,Social Work,,7-8 hours.,Yes,Yes,No,"No, never.",No,Yes,No,A few times a week,Less than 30 minutes.,Yes,I spend some time on personal activities a few times a week.,No,,Great,Good,Ok,Good,Ok
11/22/21 12:15,11/22/21 12:17,IP Address,100,111,True,11/22/21 12:17,R_AbTLPqBlcfA3aiB,anonymous,EN,23,Female,White or Caucasian,Fifth or more year,2.15,Undergraduate,Advertising and Public Relations,,,Less than 5 hours.,No,Yes,Yes,"Yes, rarely.",Yes,No,,Every day,60-90 minutes.,No,,Yes,1-3 hours/day.,Bad,Bad,Bad,Bad,Bad
11/22/21 12:16,11/22/21 12:18,IP Address,100,82,True,11/22/21 12:18,R_1ogVvF1c6LB1qYl,anonymous,EN,18,Female,White or Caucasian,First year,3.75,Undergraduate,Writing,,,5-6 hours.,No,No,Yes,"Yes, rarely.",Yes,Yes,No,A few times a week,30-60 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,1-3 hours/day.,Good,Bad,Bad,Ok,Not Good
11/22/21 12:17,11/22/21 12:19,IP Address,100,128,True,11/22/21 12:19,R_2VPg32akVWaBckH,anonymous,EN,,Female,Hispanic or Latino,Fourth year,3.5,Undergraduate,Social Work,,,7-8 hours.,Yes,No,No,"No, never.",Yes,Yes,No,Never,,Yes,I spend some time on personal activities a few times a week.,Yes,1-3 hours/day.,Good,Good,Good,Ok,Good
11/22/21 12:17,11/22/21 12:20,IP Address,100,159,True,11/22/21 12:20,R_1LjMdwfJ9gPwN7j,anonymous,EN,19,Female,White or Caucasian,Second year,3.54,Undergraduate,Nursing,,,5-6 hours.,No,No,No,"Yes, rarely.",Yes,Yes,No,Never,,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Ok,Good,Not Good,Ok,Good
11/22/21 12:01,11/22/21 12:21,IP Address,100,1227,True,11/22/21 12:21,R_210wxJ3YKMoJOHi,anonymous,EN,19,Female,White or Caucasian,Second year,3.9,Undergraduate,Wildlife Biology,,,7-8 hours.,Yes,Yes,No,"No, never.",No,No,,Never,,Yes,1-3 hours/day.,Yes,Less than 1 hour/day.,Great,Good,Ok,Good,Good
11/22/21 12:19,11/22/21 12:21,IP Address,100,151,True,11/22/21 12:21,R_1M4EwzRsn2lS1Qo,anonymous,EN,,Female,White or Caucasian,Fifth or more year,3.48,Graduate,,Business Administration,,5-6 hours.,No,Yes,Yes,"Yes, I do it often.",Yes,Yes,No,Every day,60-90 minutes.,Yes,I am too busy with school/work to have regular leisure time in my schedule.,Yes,1-3 hours/day.,Good,Ok,Bad,Not Good,Ok
